zeichnung;ventiltype;innenrate;aussenrate;beipruefdruck;innenzeit;aussenzeit;bemerkungen;modifiedBy
446796;42ROK/77CDK;0,341;0,414;5;_;_;446796 + 42RO/77CD 436864;
446797;30ROK/54CK;0,135;0,165;5;_;_;30ROK/54CK 446797 + 30ROK/54C 444097;
447486;52ROK/85CD;0,446;0,463;5;_;_;52 ROK/85 CD 577795;
447724;50C/48CDD;0,136;0,268;5;_;_;_;
448251;17,5/1-DIA34/1;_;_;50/30;2,33;1,22;17 C/34 C 424226;
448842;DIA80/2–DIA134/1;1,15;0,743;5;_;_;Innenpr. Möglich;
448853;DIA128/2-DIA190/1;1,28;1,1;5;_;_;DIA128/2-DIA190/1: 448853 für Außenseite;
449183;34C/19R1;_;_;50/30;1,74;2,31;34 C/19 C 437218;
449369;136CDK/87CFK;0,946;0,755;5;_;_;lt Hr. Zins nur Innenseite prüfen;
449587;42ROK/77CD;0,341;0,414;5;_;_;_;
449948;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
450148;79RLX/106CD;0,853;0,609;5;_;_;79 RLX/106 CD 403582;
450366;DIA70/1K-DIA70/1K;0,365;0,365;5;_;_;82 C/70 ED 424570;
450874;34C/17C;0,044;0,097;5;_;_;34 C/17 C 426099;
450917;318CGK/194CRK;5,46;5,411;5;_;_;_;
450918;251CFK/154CRK;3,278;1,078;5;_;_;_;
450919;160CEK/102CFT;1,121;1,274;5;_;_;105 R1/154 CE 443906;
451408;17C/34CK;_;_;50/40;2,1;0,3;17C/34 C 421168;
451447;180CEK/106FDK;1,18;1,365;5;_;_;Nur Innenseite prüfen lt Hr. Zins;
451474;62CI/48CDDK;0,136;0,149;5;_;_;DIA 73/ DIA42 098954;
451475;62CI/48CDDK;0,136;0,149;5;_;_;DIA 73/ DIA42 098954;
452254;42DX/68CD;0,219;0,373;5;_;_;_;
452257;30R/54C;_;_;100/70;0,63;0,51;30R/54C 442397;
452265;42ROK/77CDK;0,341;0,414;5;_;_;42 ROK/77 CDK 446323;
452267;30ROK/54CDK;_;_;60/30;1,22;1;30 ROK/54 CDK 446324;
452347;50CIK/41CU;0,182;0,268;5;_;_;50-CIK/41 CU 462809;
452996;DIA79/1–DIA48/1;0,237;0,425;5;_;_;_;
453024;DIA79/1–DIA48/1;0,237;0,425;5;_;_;DIA 79/1 – DIA 48/1 452996;
453074;DIA52/2–DIA84/1;0,375;0,461;5;_;_;_;
453120;DIA54/3–91/1;0,471;0,505;5;_;_;_;
453194;69EO/119CD;0,52;0,357;5;_;_;70 ED/120 CD 431697;
453346;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
453347;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
453866;DIA44/1–DIA44/1;0,217;0,217;5;_;_;DIA44/1–DIA44/1 419220;
453903;DIA44/1–DIA44/1;0,217;0,217;5;_;_;DIA44/1–DIA44/1 419220;
453909;DIA44/1–DIA44/1;0,217;0,217;5;_;_;DIA44/1–DIA44/1 419220;
